"time","blh_m"
2024-06-20 15:32:42.170266,1451.63
2024-06-20 15:52:42.161877,1701.63
2024-06-20 16:12:42.175313,701.63
2024-06-20 16:32:42.181418,301.63
2024-06-20 16:52:42.191887,301.63
2024-06-20 17:12:42.090348,2951.63
2024-06-20 17:32:42.297075,3201.63
2024-06-20 17:52:42.050072,3651.63
2024-06-20 18:12:42.349134,3851.63
2024-06-20 18:32:42.014363,3501.63
2024-06-20 18:52:42.294224,801.63
2024-06-20 19:12:42.03661,4251.63
2024-06-20 19:32:42.299371,4701.63
2024-06-20 19:52:42.180682,2301.63
2024-06-20 20:12:42.2012,3951.63
2024-06-20 20:32:42.198111,NA
2024-06-20 20:52:42.106097,4251.63
2024-06-20 21:12:42.033626,5851.63
2024-06-20 21:32:42.28478,3351.63
2024-06-20 21:52:42.085363,2751.63
2024-06-20 22:12:42.348044,3351.63
2024-06-20 22:32:42.139847,3601.63
2024-06-20 22:52:42.094121,2201.63
2024-06-20 23:12:42.267776,4301.63
2024-06-20 23:32:42.075682,5551.63
2024-06-20 23:52:42.352253,201.63
2024-06-21 00:12:42.024593,NA
2024-06-21 00:32:42.161274,NA
2024-06-21 00:52:42.139286,NA
2024-06-21 01:12:42.123483,NA
2024-06-21 01:32:42.102993,NA
2024-06-21 01:52:42.098476,NA
2024-06-21 02:12:42.363772,NA
2024-06-21 02:32:42.123106,NA
2024-06-21 02:52:42.192065,NA
2024-06-21 03:12:42.168256,2951.63
2024-06-21 03:32:42.234106,3901.63
2024-06-21 03:52:42.255147,3301.63
2024-06-21 04:12:42.206987,3151.63
2024-06-21 04:32:42.241777,151.63
2024-06-21 04:52:42.047299,3301.63
2024-06-21 05:12:42.288053,3301.63
2024-06-21 05:32:42.028689,3451.63
2024-06-21 05:52:42.278858,2901.63
2024-06-21 06:12:42.047064,2851.63
2024-06-21 06:32:42.335081,1951.63
2024-06-21 06:52:42.235081,151.63
2024-06-21 07:12:42.146436,NA
2024-06-21 07:32:42.110587,101.63
2024-06-21 07:52:42.190781,NA
2024-06-21 08:12:42.016902,NA
2024-06-21 08:32:42.253351,NA
2024-06-21 08:52:42.226736,NA
2024-06-21 09:12:42.199547,NA
2024-06-21 09:32:42.113186,101.63
2024-06-21 09:52:29.618804,351.63
2024-06-21 10:12:42.016041,3301.63
2024-06-21 10:32:42.156,NA
2024-06-21 10:52:42.113412,NA
2024-06-21 11:12:42.029012,NA
2024-06-21 11:32:42.212977,NA
2024-06-21 11:52:42.197999,301.63
2024-06-21 12:12:42.140022,501.63
2024-06-21 12:32:42.051025,NA
2024-06-21 12:52:42.011023,NA
2024-06-21 13:12:42.163042,NA
2024-06-21 13:32:42.112005,NA
2024-06-21 13:52:42.062005,NA
2024-06-21 14:12:42.213018,NA
2024-06-21 14:32:42.169023,651.63
2024-06-21 14:52:42.08601,551.63
2024-06-21 15:12:42.246017,651.63
2024-06-21 15:32:42.007996,401.63
2024-06-21 15:52:42.162017,651.63
2024-06-21 16:12:42.099021,701.63
2024-06-21 16:32:42.016924,701.63
2024-06-21 16:52:42.204007,851.63
2024-06-21 17:12:42.119024,701.63
2024-06-21 17:32:42.092006,701.63
2024-06-21 17:52:42.275046,651.63
2024-06-21 18:12:42.175035,2751.63
2024-06-21 18:32:42.174592,3301.63
2024-06-21 18:52:42.138038,3051.63
2024-06-21 19:12:42.063485,351.63
2024-06-21 19:32:42.257016,351.63
2024-06-21 19:52:42.209972,451.63
2024-06-21 20:12:42.123017,3801.63
2024-06-21 20:32:42.060011,101.63
2024-06-21 20:52:42.24637,4551.63
2024-06-21 21:12:42.178988,401.63
2024-06-21 21:32:42.120005,551.63
2024-06-21 21:52:42.050964,3251.63
2024-06-21 22:12:42.252239,2801.63
2024-06-21 22:32:42.235018,3351.63
2024-06-21 22:52:42.13203,3401.63
2024-06-21 23:12:42.05802,2901.63
2024-06-21 23:32:42.218016,3351.63
2024-06-21 23:52:42.141019,3301.63
2024-06-22 00:12:42.08104,3451.63
2024-06-22 00:32:42.044025,3251.63
2024-06-22 00:52:42.234296,2801.63
2024-06-22 01:12:42.191024,3001.63
2024-06-22 01:32:42.103013,1851.63
2024-06-22 01:52:42.028028,1951.63
2024-06-22 02:12:42.208019,3451.63
2024-06-22 02:32:42.162012,3351.63
2024-06-22 02:52:42.055051,951.63
2024-06-22 03:12:42.236008,301.63
2024-06-22 03:32:42.152011,351.63
2024-06-22 03:52:42.151577,2001.63
2024-06-22 04:12:42.118021,1801.63
2024-06-22 04:32:42.087021,4051.63
2024-06-22 04:52:42.233016,3601.63
2024-06-22 05:12:42.16502,4601.63
2024-06-22 05:32:42.178025,3951.63
2024-06-22 05:52:42.124775,1801.63
2024-06-22 06:12:42.107041,2601.63
2024-06-22 06:32:42.097022,2551.63
2024-06-22 06:52:42.103046,151.63
2024-06-22 07:12:42.013033,NA
2024-06-22 07:32:42.16103,NA
2024-06-22 07:52:42.180008,NA
2024-06-22 08:12:42.132311,NA
2024-06-22 08:32:42.119667,NA
2024-06-22 08:52:42.082027,NA
2024-06-22 09:12:42.239056,NA
2024-06-22 09:32:42.190051,NA
2024-06-22 09:52:42.224047,2851.63
2024-06-22 10:12:42.15401,NA
2024-06-22 10:32:42.049031,NA
2024-06-22 10:52:42.243979,NA
